ID,Step,Distance,Azimuth,Rotation,TransitTime
0,1,6.144,285.7,223.749,3.019
0,2,5.774,69.912,339.728,3.412
0,3,5.868,100.232,64.269,3.168
0,4,5.129,42.216,255.777,3.801
0,5,6.112,152.362,62.362,3.268
0,6,6.19,99.114,-170.886,3.21
0,7,6.265,261.153,171.089,3.063
0,8,6.333,98.404,-171.596,3.587
0,9,6.424,260.361,126.073,3.187
0,10,7.124,139.797,139.797,4.358
0,11,5.817,0.001,336.148,3.243
0,12,4.943,28.421,226.957,3.523
0,13,5.955,164.698,245.351,3.849
0,14,5.879,268.171,186.793,3.054
0,15,5.812,90.348,144.04,3.744
0,16,5.227,296.334,229.078,3.94
0,17,4.893,80.123,321.053,3.249
0,18,5.434,128.091,38.091,3.393
0,19,5.528,100.611,115.571,3.704
0,20,4.463,341.353,244.492,3.376
0,21,4.693,109.229,215.135,3.85
0,22,5.132,241.598,151.598,3.297
0,23,5.226,100.915,278.876,3.047
0,24,6.14,181.735,-88.265,3.498
0,25,6.229,260.301,285.267,3.405
0,26,5.321,330.387,296.816,3.222
0,27,4.547,40.328,342.937,3.059
0,28,4.126,68.191,319.133,3.942
0,29,4.648,122.976,-147.024,3.876
0,30,4.791,255.951,21.789,3.588
0,31,5.491,225.016,152.88,3.629
0,32,5.26,83.497,239.094,3.301
0,33,6.176,200.602,110.602,3.663
0,34,6.274,100.088,342.688,3.513
0,35,6.823,125.285,-144.715,3.392
0,36,6.899,261.523,189.3,3.57
0,37,6.651,81.042,3.849,3.903
0,38,6.493,87.32,201.718,3.298
0,39,6.96,238.167,229.534,3.198
0,40,6.013,10.007,144.322,3.818
0,41,6.862,218.822,-51.178,3.492
0,42,6.942,261.315,356.198,3.559
0,43,7.112,256.517,256.517,4.821
0,44,5.666,0.004,201.025,3.835
0,45,6.753,162.485,72.485,3.396
0,46,6.829,98.577,103.693,3.036
0,47,5.922,354.098,71.205,3.025
0,48,5.788,274.102,117.814,3.906
0,49,6.877,160.214,-109.786,3.378
0,50,6.951,261.616,5.492,3.163
0,51,7.238,248.81,248.81,4.113
0,52,6.004,359.997,263.095,3.761
0,53,6.241,107.239,-162.761,3.403
0,54,6.324,260.709,323.159,3.686
0,55,5.895,287.972,161.522,3.492
0,56,6.572,133.817,43.817,3.803
0,57,6.67,99.852,144.438,3.069
0,58,6.049,309.28,17.99,3.409
0,59,5.758,281.763,313.139,3.025
0,60,5.005,323.206,127.876,3.236
0,61,5.947,192.853,43.169,3.463
0,62,6.864,154.069,64.069,3.226
0,63,6.932,98.028,8.028,3.195
0,64,6.997,97.871,171.225,3.224
0,65,6.784,278.798,58.904,3.359
0,66,7.585,215.008,215.008,4.135
0,67,6.344,359.997,234.947,3.524
0,68,7.005,132.148,132.148,4.248
0,69,5.731,359.995,329.54,3.154
0,70,4.938,36.024,284.794,3.724
0,71,5.443,122.252,258.543,3.004
0,72,6.127,217.877,127.877,3.442
0,73,6.214,99.564,290.107,3.579
0,74,7.272,171.004,171.004,4.409
0,75,5.949,0.002,218.396,3.933
0,76,6.913,147.694,-122.306,3.324
0,77,6.985,261.794,339.799,3.82
